parameter_name,unit,business_meaning,distribution_type,low,mode,high,source_type,source_reference,reason_for_range,owner,last_updated,evidence_ids,chosen_range_or_value,median,p95,value
baseline_failure_rate,share_of_volume,Share of annual volume that fails on the legacy path before any intervention.,tri,0.04,0.1,0.15,public_open_data_benchmark,"HM Land Registry live service data for Search (gov), March 2023 to March 2024. Modeled failure rate is 1 minus the published completion rate.","Uses the public benchmark's rough P10, median, and P90 failure rates as an external anchor for a critical digital transaction path while keeping the domain mismatch explicit.",Tomasz Solis,2026-04-06,['hm_land_registry_search_completion_benchmark'],0.04 / 0.1 / 0.15,,,
cost_per_failure_eur,eur_per_failure,Direct operational cost created by one failed unit.,tri,20.0,35.0,55.0,illustrative_benchmark,Synthetic support-and-recovery cost range for a commerce platform.,Captures the difference between cheap retries and expensive manual recovery.,Tomasz Solis,2026-04-05,[],20.0 / 35.0 / 55.0,,,
do_nothing_drift_cost_eur,eur_per_year,"Annual internal operating drag of staying on the current path, including firefighting, coordination overhead, and workaround cost but excluding customer-side revenue loss.",tri,30000.0,50000.0,90000.0,placeholder_for_real_telemetry,"Placeholder for observed internal drift cost in a live product, such as manual recovery, incident handling, and engineering overhead.",Keeps status quo deterioration visible without blending the same customer harm already captured through failure-linked value loss.,Tomasz Solis,2026-04-05,[],30000.0 / 50000.0 / 90000.0,,,
extension_exposure_reduction,share_of_failure_exposure_removed_for_adopters,Failure-exposure reduction for users who adopt the express path.,tri,0.55,0.7,0.85,synthetic_case_assumption,Portfolio assumption about how much of the legacy flow the extension bypasses.,Assumes the extension avoids a meaningful but not total share of the problematic path.,Tomasz Solis,2026-04-05,[],0.55 / 0.7 / 0.85,,,
extension_loss_rate,leakage_share,Share of extension value that leaks away through disablement or decay.,tri,0.05,0.08,0.12,placeholder_for_real_telemetry,Placeholder for observed disablement or value-decay telemetry in a real product.,Prevents the extension case from assuming perfect value retention.,Tomasz Solis,2026-04-05,[],0.05 / 0.08 / 0.12,,,
extension_uptake,adopter_share,Share of users who adopt the optional express path.,tri,0.1,0.3,0.5,elicited_range,Synthetic feature-adoption range for an optional convenience flow.,Keeps the extension economically sensitive to adoption rather than assuming it.,Tomasz Solis,2026-04-05,[],0.1 / 0.3 / 0.5,,,
extension_value_per_uptake_eur,eur_per_adopting_unit,Additional value created by one adopting unit before decay or disablement.,tri,2.0,4.0,7.0,synthetic_case_assumption,Portfolio assumption for how much convenience value the extension creates per adopter.,Keeps the extension additive without letting convenience dominate reliability economics.,Tomasz Solis,2026-04-05,[],2.0 / 4.0 / 7.0,,,
failure_to_churn_rel,revenue_penalty_share,"Relative downstream value loss that follows when one failure damages trust, retention, or future conversion for the affected unit.",tri,0.1,0.15,0.25,synthetic_case_assumption,Portfolio case judgment for how often an exposed failure causes customer-side value loss beyond the direct failure cost.,Keeps customer-harm effects visible without forcing every failure to become full churn.,Tomasz Solis,2026-04-05,[],0.1 / 0.15 / 0.25,,,
feature_extension_annual_maintenance_cost_eur,eur_per_year,Ongoing annual cost of operating the express path.,constant,,,,synthetic_case_assumption,Portfolio assumption for supporting an additional production path.,Reflects extra ongoing complexity from keeping the extension alive.,Tomasz Solis,2026-04-05,[],60000.0,,,60000.0
feature_extension_benefit_ramp_months,months,Time needed for extension adoption and operational impact to reach full effect.,tri,2.0,4.0,6.0,synthetic_case_assumption,Portfolio assumption for adoption ramp after shipping an optional convenience flow.,Prevents the model from assuming full uptake on the day the extension launches.,Tomasz Solis,2026-04-05,[],2.0 / 4.0 / 6.0,,,
feature_extension_cost_overrun_multiplier,multiplier,Delivery-cost multiplier applied to the feature-extension upfront cost.,tri,1.0,1.1,1.25,synthetic_case_assumption,Portfolio assumption for moderate delivery variance on a contained product build.,Keeps the extension from appearing cheaper than its coordination burden in every world.,Tomasz Solis,2026-04-05,[],1.0 / 1.1 / 1.25,,,
feature_extension_launch_delay_months,months,Time before the express-path investment begins producing production benefits.,tri,1.0,2.0,4.0,elicited_range,Synthetic delivery estimate for a bounded optional-flow launch.,"Keeps the extension faster than a core refactor, but not instant.",Tomasz Solis,2026-04-05,[],1.0 / 2.0 / 4.0,,,
feature_extension_regression_prob_multiplier,probability_multiplier,Relative release-risk multiplier for the feature-extension option.,constant,,,,synthetic_case_assumption,Portfolio assumption that the extension is easier to contain than a core refactor.,"Lets the extension carry risk, but slightly less than the baseline refactor.",Tomasz Solis,2026-04-05,[],0.8,,,0.8
feature_extension_upfront_cost_eur,eur,One-time investment required to ship the express path.,constant,,,,synthetic_case_assumption,Synthetic budget line for an optional express-flow build.,Keeps the extension cheaper than the refactor but still material.,Tomasz Solis,2026-04-05,[],600000.0,,,600000.0
new_capability_annual_maintenance_cost_eur,eur_per_year,Ongoing annual cost of supporting the new capability.,constant,,,,synthetic_case_assumption,Portfolio assumption for operating a more complex capability over time.,Makes the capability carry visible ownership cost after launch.,Tomasz Solis,2026-04-05,[],100000.0,,,100000.0
